#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B9C353
#Date Time: 2025-04-28 16:26:41.791
#Sample rate: 1600Hz
#Samples: 8192
#Channel 1: Range: 5 V/div Offset: 0 V Sample Mode: Average

Time (s),Channel 1 (V)
-2.55973252688172,-9.40132712668875
-2.55910752688172,-9.397650581440457
-2.55848252688172,-9.346178947964342
-2.55785752688172,-9.324119676474579
-2.55723252688172,-9.46750494115804
-2.55660752688172,-9.412356762433632
-2.55598252688172,-9.379267855198988
-2.55535752688172,-9.412356762433632
-2.55473252688172,-9.452798760164866
-2.55410752688172,-9.441769124419983
-2.55348252688172,-9.489564212647805
-2.55285752688172,-9.507946938889274
-2.552232526881721,-9.48588766739951
-2.55160752688172,-9.423386398178513
-2.55098252688172,-9.316766585977991
-2.55035752688172,-9.390297490943869
-2.54973252688172,-9.390297490943869
-2.54910752688172,-9.393974036192162
-2.54848252688172,-9.40132712668875
-2.547857526881721,-9.331472766971165
-2.54723252688172,-9.364561674205811
-2.54660752688172,-9.445445669668278
-2.54598252688172,-9.456475305413159
-2.54535752688172,-9.463828395909747
-2.54473252688172,-9.441769124419983
-2.54410752688172,-9.434416033923396
-2.54348252688172,-9.40132712668875
-2.54285752688172,-9.427062943426808
-2.54223252688172,-9.434416033923396
-2.54160752688172,-9.460151850661452
-2.54098252688172,-9.40132712668875
-2.54035752688172,-9.386620945695574
-2.53973252688172,-9.375591309950693
-2.53910752688172,-9.393974036192162
-2.53848252688172,-9.423386398178513
-2.53785752688172,-9.452798760164866
-2.53723252688172,-9.430739488675101
-2.536607526881721,-9.397650581440457
-2.53598252688172,-9.41970985293022
-2.53535752688172,-9.504270393640979
-2.53473252688172,-9.496917303144391
-2.53410752688172,-9.504270393640979
-2.53348252688172,-9.471181486406335
-2.53285752688172,-9.438092579171689
-2.532232526881721,-9.375591309950693
-2.53160752688172,-9.346178947964342
-2.53098252688172,-9.364561674205811
-2.53035752688172,-9.427062943426808
-2.52973252688172,-9.40132712668875
-2.52910752688172,-9.35353203846093
-2.52848252688172,-9.346178947964342
