#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B9C353
#Date Time: 2025-05-12 15:27:29.203
#Sample rate: 800Hz
#Samples: 8192
#Channel 1: Range: 5 V/div Offset: 0 V Sample Mode: Average

Time (s),Channel 1 (V)
-5.119200367647059,-3.57400290814291
-5.117950367647059,-3.555620181901441
-5.116700367647058,-3.599738724880968
-5.115450367647059,-3.607091815377555
-5.114200367647059,-3.57400290814291
-5.112950367647058,-3.577679453391204
-5.111700367647058,-3.596062179632673
-5.110450367647059,-3.585032543887792
-5.109200367647059,-3.585032543887792
-5.107950367647058,-3.581355998639498
-5.106700367647059,-3.529884365163384
-5.105450367647059,-3.562973272398029
-5.104200367647059,-3.577679453391204
-5.102950367647058,-3.59238563438438
-5.101700367647059,-3.585032543887792
-5.100450367647059,-3.607091815377555
-5.099200367647058,-3.537237455659971
-5.097950367647059,-3.540914000908265
-5.096700367647059,-3.588709089136086
-5.095450367647059,-3.570326362894616
-5.094200367647058,-3.581355998639498
-5.092950367647059,-3.59238563438438
-5.091700367647059,-3.599738724880968
-5.090450367647058,-3.581355998639498
-5.089200367647059,-3.548267091404853
-5.087950367647059,-3.562973272398029
-5.086700367647059,-3.607091815377555
-5.085450367647058,-3.559296727149734
-5.084200367647059,-3.566649817646323
-5.082950367647059,-3.566649817646323
-5.081700367647058,-3.57400290814291
-5.080450367647058,-3.59238563438438
-5.079200367647059,-3.559296727149734
-5.077950367647059,-3.566649817646323
-5.076700367647058,-3.577679453391204
-5.075450367647059,-3.599738724880968
-5.074200367647059,-3.570326362894616
-5.072950367647059,-3.585032543887792
-5.071700367647058,-3.57400290814291
-5.070450367647059,-3.570326362894616
-5.069200367647059,-3.570326362894616
-5.067950367647058,-3.585032543887792
-5.066700367647059,-3.588709089136086
-5.065450367647059,-3.577679453391204
-5.064200367647059,-3.585032543887792
-5.062950367647058,-3.599738724880968
-5.061700367647059,-3.570326362894616
-5.060450367647059,-3.596062179632673
-5.059200367647058,-3.555620181901441
-5.057950367647059,-3.588709089136086
-5.056700367647059,-3.566649817646323
-5.055450367647059,-3.555620181901441
-5.054200367647058,-3.588709089136086
-5.052950367647059,-3.596062179632673
-5.051700367647059,-3.59238563438438
-5.050450367647058,-3.599738724880968
-5.049200367647058,-3.581355998639498
-5.047950367647059,-3.548267091404853
-5.046700367647059,-3.588709089136086
-5.045450367647058,-3.566649817646323
-5.044200367647059,-3.585032543887792
-5.042950367647059,-3.588709089136086
-5.041700367647059,-3.588709089136086
-5.040450367647058,-3.603415270129262
-5.039200367647059,-3.57400290814291
-5.037950367647059,-3.533560910411677
-5.036700367647058,-3.581355998639498
-5.035450367647059,-3.625474541619025
-5.034200367647059,-3.57400290814291
-5.032950367647059,-3.603415270129262
-5.031700367647058,-3.599738724880968
-5.030450367647059,-3.603415270129262
-5.029200367647059,-3.555620181901441
-5.027950367647058,-3.566649817646323
-5.026700367647059,-3.588709089136086
-5.025450367647059,-3.581355998639498
-5.024200367647059,-3.588709089136086
-5.022950367647058,-3.581355998639498
-5.021700367647059,-3.607091815377555
-5.020450367647059,-3.570326362894616
-5.019200367647058,-3.599738724880968
-5.017950367647058,-3.607091815377555
-5.016700367647059,-3.588709089136086
-5.015450367647059,-3.562973272398029
-5.014200367647058,-3.577679453391204
-5.012950367647059,-3.607091815377555
-5.011700367647059,-3.618121451122437
-5.010450367647059,-3.599738724880968
-5.009200367647058,-3.544590546156559
-5.007950367647059,-3.562973272398029
-5.006700367647059,-3.562973272398029
-5.005450367647058,-3.581355998639498
-5.004200367647059,-3.555620181901441
-5.002950367647059,-3.603415270129262
-5.001700367647059,-3.607091815377555
-5.000450367647058,-3.625474541619025
-4.999200367647059,-3.559296727149734
-4.997950367647059,-3.566649817646323
-4.996700367647058,-3.599738724880968
-4.995450367647059,-3.610768360625849
-4.994200367647059,-3.632827632115613
-4.992950367647059,-3.614444905874143
-4.991700367647058,-3.581355998639498
-4.990450367647059,-3.562973272398029
-4.989200367647059,-3.559296727149734
