#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B9C353
#Date Time: 2025-04-28 15:48:43.641
#Sample rate: 68.267Hz
#Samples: 8192
#Channel 1: Range: 5 V/div Offset: 0 V Sample Mode: Average

Time (s),Channel 1 (V)
-59.98833541688903,-9.541035846123918
-59.97368704688903,-9.541035846123918
-59.95903867688903,-9.518976574634156
-59.94439030688903,-9.537359300875625
-59.92974193688903,-9.526329665130744
-59.91509356688903,-9.541035846123918
-59.90044519688902,-9.530006210379037
-59.88579682688903,-9.53368275562733
-59.87114845688902,-9.518976574634156
-59.85650008688903,-9.518976574634156
-59.84185171688902,-9.530006210379037
-59.82720334688903,-9.526329665130744
-59.81255497688903,-9.53368275562733
-59.79790660688903,-9.530006210379037
-59.78325823688903,-9.537359300875625
-59.76860986688903,-9.53368275562733
-59.75396149688903,-9.530006210379037
-59.73931312688903,-9.537359300875625
-59.72466475688903,-9.530006210379037
-59.71001638688903,-9.530006210379037
-59.69536801688903,-9.537359300875625
-59.68071964688902,-9.53368275562733
-59.66607127688903,-9.530006210379037
-59.65142290688902,-9.530006210379037
-59.63677453688903,-9.522653119882449
-59.62212616688903,-9.537359300875625
-59.60747779688903,-9.53368275562733
-59.59282942688903,-9.544712391372213
-59.57818105688903,-9.544712391372213
-59.56353268688903,-9.544712391372213
-59.54888431688903,-9.53368275562733
-59.53423594688903,-9.522653119882449
-59.51958757688903,-9.515300029385861
-59.50493920688903,-9.541035846123918
-59.49029083688902,-9.511623484137568
-59.47564246688903,-9.530006210379037
-59.46099409688902,-9.53368275562733
-59.44634572688903,-9.515300029385861
-59.43169735688902,-9.526329665130744
-59.41704898688903,-9.537359300875625
-59.40240061688903,-9.541035846123918
-59.38775224688903,-9.511623484137568
-59.37310387688903,-9.537359300875625
-59.35845550688903,-9.530006210379037
-59.34380713688903,-9.541035846123918
-59.32915876688903,-9.53368275562733
-59.31451039688903,-9.530006210379037
-59.29986202688903,-9.526329665130744
-59.28521365688903,-9.526329665130744
-59.27056528688902,-9.541035846123918
-59.25591691688903,-9.544712391372213
-59.24126854688902,-9.518976574634156
-59.22662017688903,-9.537359300875625
-59.21197180688903,-9.5520654818688
-59.19732343688903,-9.53368275562733
-59.18267506688903,-9.530006210379037
-59.16802669688903,-9.526329665130744
-59.15337832688903,-9.537359300875625
-59.13872995688903,-9.522653119882449
-59.12408158688903,-9.5520654818688
-59.10943321688903,-9.515300029385861
-59.09478484688903,-9.53368275562733
-59.08013647688902,-9.544712391372213
-59.06548810688903,-9.541035846123918
-59.05083973688902,-9.53368275562733
-59.03619136688903,-9.541035846123918
-59.02154299688902,-9.53368275562733
-59.00689462688903,-9.541035846123918
-58.99224625688903,-9.541035846123918
-58.97759788688903,-9.526329665130744
-58.96294951688903,-9.530006210379037
-58.94830114688903,-9.53368275562733
-58.93365277688903,-9.559418572365388
-58.91900440688903,-9.522653119882449
-58.90435603688903,-9.537359300875625
-58.88970766688902,-9.530006210379037
-58.87505929688903,-9.5520654818688
-58.86041092688902,-9.544712391372213
-58.84576255688903,-9.53368275562733
-58.83111418688902,-9.53368275562733
-58.81646581688903,-9.53368275562733
