Spalte1,Spalte2
5.0,-7
5.01,8
5.02,-10
5.03,7
5.04,19
5.05,19
5.06,22
5.07,24
5.08,24
5.09,22
5.1,19
5.11,19
5.12,22
5.13,26
5.14,30
5.15,29
5.16,26
5.17,20
5.18,17
5.19,16
5.2,18
5.21,21
5.22,23
5.23,24
5.24,24
5.25,23
5.26,21
5.27,16
5.28,9
5.29,2
5.3,-3
5.31,-5
5.32,-2
5.33,2
5.34,5
5.35,8
5.36,11
5.37,14
5.38,18
5.39,21
5.4,25
5.41,26
5.42,25
5.43,21
5.44,15
5.45,12
5.46,13
5.47,19
5.48,26
5.49,29
5.5,26
5.51,18
5.52,7
5.53,-3
5.54,-12
5.55,-17
5.56,-20
5.57,-18
5.58,-13
5.59,-7
5.6,-2
5.61,2
5.62,6
5.63,12
5.64,17
5.65,21
5.66,22
5.67,19
5.68,16
5.69,14
5.7,12
5.71,10
5.72,8
5.73,6
5.74,5
5.75,6
5.76,8
5.77,10
5.78,12
5.79,12
5.8,13
5.81,12
5.82,11
5.83,8
5.84,6
5.85,3
5.86,4
5.87,7
5.88,10
5.89,13
5.9,17
5.91,20
5.92,24
5.93,27
5.94,26
5.95,22
5.96,15
5.97,7
5.98,2
5.99,0
6.0,1
6.01,2
6.02,1
6.03,1
6.04,1
6.05,3
6.06,7
6.07,10
6.08,13
6.09,16
6.1,19
6.11,25
6.12,31
6.13,34
6.14,34
6.15,31
6.16,26
6.17,19
6.18,13
6.19,8
6.2,5
6.21,4
6.22,5
6.23,7
6.24,8
6.25,8
6.26,8
6.27,7
6.28,5
6.29,2
6.3,-4
6.31,-11
6.32,-15
6.33,-15
6.34,-10
6.35,-2
6.36,8
6.37,14
6.38,16
6.39,13
6.4,6
6.41,1
6.42,-1
6.43,1
6.44,6
6.45,9
6.46,8
6.47,7
6.48,7
6.49,10
6.5,16
6.51,20
6.52,19
6.53,14
6.54,7
6.55,2
6.56,1
6.57,4
6.58,10
6.59,13
6.6,13
6.61,7
6.62,-1
6.63,-7
6.64,-9
6.65,-5
6.66,1
6.67,5
6.68,5
6.69,0
6.7,-6
6.71,-8
6.72,-7
6.73,-1
6.74,6
6.75,13
6.76,17
6.77,17
6.78,15
6.79,10
6.8,5
6.81,0
6.82,-4
6.83,-6
6.84,-5
6.85,-1
6.86,3
6.87,7
6.88,7
6.89,5
6.9,-2
6.91,-9
6.92,-16
